strategy,ticker,name,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason,hold_days
C_갭모멘텀,006260,LS,2023-06-19,2023-06-19,98000.0,94822.0,-3.484,SL,0
C_갭모멘텀,006260,LS,2024-05-14,2024-05-14,153100.0,148136.0,-3.484,SL,0
C_갭모멘텀,005387,현대차2우B,2023-04-27,2023-04-28,112800.0,109142.0,-3.484,SL,1
C_갭모멘텀,005387,현대차2우B,2024-08-30,2024-09-02,189300.0,183162.0,-3.484,SL,3
C_갭모멘텀,000880,한화,2024-02-05,2024-02-05,31100.0,30092.0,-3.484,SL,0
C_갭모멘텀,000880,한화,2024-07-08,2024-07-10,29300.0,28749.0,-2.125,EXPIRE,2
C_갭모멘텀,090430,아모레퍼시픽,2022-04-29,2022-05-03,180000.0,174163.0,-3.484,SL,4
C_갭모멘텀,090430,아모레퍼시픽,2023-02-03,2023-02-07,150700.0,148579.0,-1.654,EXPIRE,4
C_갭모멘텀,090430,아모레퍼시픽,2023-11-01,2023-11-02,128100.0,135446.0,5.471,TP,1
C_갭모멘텀,090430,아모레퍼시픽,2024-05-02,2024-05-07,172400.0,166810.0,-3.484,SL,5
C_갭모멘텀,011070,LG이노텍,2022-01-17,2022-01-17,375000.0,362840.0,-3.484,SL,0
C_갭모멘텀,011070,LG이노텍,2022-08-26,2022-08-29,339000.0,328008.0,-3.484,SL,3
C_갭모멘텀,011070,LG이노텍,2022-09-14,2022-09-16,349500.0,338167.0,-3.484,SL,2
C_갭모멘텀,011070,LG이노텍,2022-11-14,2022-11-16,320000.0,316888.0,-1.22,EXPIRE,2
C_갭모멘텀,047040,대우건설,2022-03-11,2022-03-14,7010.0,7412.0,5.471,TP,3
C_갭모멘텀,047040,대우건설,2023-11-07,2023-11-09,4175.0,4106.0,-1.908,EXPIRE,2
C_갭모멘텀,007660,이수페타시스,2021-04-23,2021-04-27,3480.0,3367.0,-3.484,SL,4
C_갭모멘텀,007660,이수페타시스,2021-08-25,2021-08-27,3502.0,3703.0,5.471,TP,2
C_갭모멘텀,007660,이수페타시스,2022-11-14,2022-11-14,5737.0,5551.0,-3.484,SL,0
